name,rank,first_year,last_year,first_version,last_version,status,confidence,change_type,proposal,resolves_to,destinations,note
Abyssoviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Ackermannviridae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Adamaviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Adenoviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Adintoviridae,family,2020,2023,MSL36,MSL39,renamed,exact,Renamed,2024.010D.Varidnaviria_reorg.zip,Eupolintoviridae,Eupolintoviridae (100%),ICTV renamed Adintoviridae to Eupolintoviridae by MSL40 (Renamed).
Aggregaviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Ahmunviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Ahpuchviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Aliceevansviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Alisviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Aliusviridae,family,2020,2024,MSL36,MSL40,current,current,,,,,
Alloherpesviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Allomimiviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Alphaflexiviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Alphaormycoviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Alphasatellitidae,family,2017,2024,MSL32,MSL40,current,current,,,,,
Alphatetraviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Alternaviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Alvernaviridae,family,2011,2024,MSL26,MSL40,current,current,,,,,
Amalgaviridae,family,2013,2024,MSL28,MSL40,current,current,,,,,
Amesuviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Amnoonviridae,family,2018,2024,MSL33,MSL40,current,current,,,,,
Ampullaviridae,family,2008,2024,MSL24,MSL40,current,current,,,,,
Anaerodiviridae,family,2021,2024,MSL37,MSL40,current,current,,,,,
Andersonviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Anelloviridae,family,2009,2024,MSL25,MSL40,current,current,,,,,
Anicreviridae,family,2023,2024,MSL39,MSL40,current,current,,,,,
Aoguangviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
Apasviridae,family,2024,2024,MSL40,MSL40,current,current,,,,,
Arenaviridae,family,2005,2024,MSL23,MSL40,current,current,,,,,
Arenbergviridae,family,2022,2024,MSL38,MSL40,current,current,,,,,
